OCR FULL LOG
FILENAME                       | EXPECTED     | DETECTED     | STATUS
--------------------------------------------------------------------------------
31.jpg                         | SK468VU      | SK468VU      | OK
116.jpg                        | SO0773X      | AA80103R     | FAIL
47.jpg                         | SBI01M5      | SBI01M5      | OK
169.jpg                        | STAGA81      | STA6481      | FAIL
131.jpg                        | SL98181      | SL98181      | OK
93.jpg                         | SMI98X8      | SMI98X8      | OK
32.jpg                         | SMI03L9      | SMI03L9      | OK
82.jpg                         | SO6058G      | SO60586      | FAIL
174.jpg                        | SL1426H      | SL1426H      | OK
102.jpg                        | SZA92043     | SZA2043      | FAIL
132.jpg                        | SMY01258     | SMY01258     | OK
185.jpg                        | SD4350J      | SD4350J      | OK
138.jpg                        | SZO99CK      | SZO9CK       | FAIL
9.jpg                          | SM5552E      | SM5552E      | OK
34.jpg                         | SR6510F      | SR6510F      | OK
98.jpg                         | SZA92043     | SZA92043     | OK
81.jpg                         | SD7918E      | SD7918E      | OK
95.jpg                         | SBL66094     | SBL66094     | OK
94.jpg                         | SB262FF      | SB262FF      | OK
4.jpg                          | ST8055V      | ST8055V      | OK
140.jpg                        | SH7788A      | SH7788A      | OK
184.jpg                        | SR8817P      | SR8817P      | OK
164.jpg                        | SI64042      | SI64042      | OK
181.jpg                        | STA5950A     | STA5950A     | OK
143(1).jpg                     | SO0665L      | SC9665       | FAIL
96.jpg                         | SBL66094     | SBL66094     | OK
175.jpg                        | SK440AY      | SK440AY      | OK
15.jpg                         | KOS8900E     | KOS8900E     | OK
143.jpg                        | SO0665L      | SC9665       | FAIL
27.jpg                         | STA0211F     | STA0211F     | OK
92.jpg                         | SK192TF      | SK192TF      | OK
75.jpg                         | SK239WE      | SK239WE      | OK
142.jpg                        | ST5630V      | ST5630V      | OK
127.jpg                        | STA5468C     | STA5468C     | OK
17.jpg                         | SCZ26114     | SCZ26114     | OK
53.jpg                         | STACU30      | STACU30      | OK
56.jpg                         | KR466WV      | KR466HV      | FAIL
16.jpg                         | SL2592F      | SL2592F      | OK
128.jpg                        | SL94455      | SL94455      | OK
20.jpg                         | SL2702J      | SL2702J      | OK
179.jpg                        | SM78958      | SM78958      | OK
125.jpg                        | SBE1515G     | SBE1515G     | OK
111.jpg                        | KR5CV17      | KR5CV17      | OK
89.jpg                         | SM3106E      | SM3106E      | OK
120.jpg                        | SM79962      | SM79962      | OK
105.jpg                        | SJ6479A      | SJ6479A      | OK
50.jpg                         | SO7183K      | SO7183K      | OK
177.jpg                        | SR1279L      | SR1279L      | OK
173.jpg                        | SK959YF      | SK959YF      | OK
130.jpg                        | SK807WM      | SK807WM      | OK
137.jpg                        | ST6666U      | ST6666U      | OK
74.jpg                         | KMI66V3      | KMI66V3      | OK
156.jpg                        | SK8056K      | SK8056K      | OK
8.jpg                          | ST8936T      | ST89361      | FAIL
60.jpg                         | SK499VJ      | SK499VJ      | OK
72.jpg                         | SL84590      | SL84590      | OK
84.jpg                         | SGL03210     | SGL03210     | OK
80.jpg                         | SR5635N      | SR5635N      | OK
14.jpg                         | SK286XX      | SK286XX      | OK
193.jpg                        | SPS85295     | SPS85295     | OK
58.jpg                         | STA8582C     | STA8582C     | OK
67.jpg                         | SZA1477F     | SZA1477F     | OK
121.jpg                        | SK179VE      | SK179VE      | OK
187.jpg                        | SZ2805M      | SZ2805M      | OK
85.jpg                         | SCI61825     | SCI61825     | OK
165.jpg                        | SMI29210     | SMI29210     | OK
63.jpg                         | STA4470C     | STA4470C     | OK
170.jpg                        | SMI39019     | SMI39019     | OK
149.jpg                        | ST8055V      | ST8055V      | OK
150.jpg                        | SPI19846     | SPI19846     | OK
11.jpg                         | SL83861      | SL83861      | OK
166.jpg                        | SL7185E      | SL7185E      | OK
66.jpg                         | STA2316F     | STA2316F     | OK
3.jpg                          | SZA1837C     | SZA1837C     | OK
91.jpg                         | KOS0163G     | KOS01636     | FAIL
159.jpg                        | SK743MW      | SK743MW      | OK
124.jpg                        | SW55815      | SW55815      | OK
114.jpg                        | SBE48JU      | SBE48        | FAIL
153.jpg                        | SJ7912C      | SJ7912C      | OK
167.jpg                        | KOS4V97      | KOS4V97      | OK
100.jpg                        | SK321LE      | SK321LE      | OK
155.jpg                        | SG526CF      | SG526CF      | OK
1.jpg                          | SCZ26114     | SCZ26114     | OK
51.jpg                         | SM3726E      | SM3726E      | OK
139.jpg                        | SMI36115     | SMI36115     | OK
194.jpg                        | ST47026      | ST47026      | OK
118.jpg                        | SK5682A      | SK5682A      | OK
57.jpg                         | SK894RS      | SK894RS      | OK
158.jpg                        | SH9435C      | SH9435C      | OK
21.jpg                         | SK131NF      | SK131NF      | OK
88.jpg                         | SL7061H      | SL7061H      | OK
13.jpg                         | SL0457H      | SL0457H      | OK
87.jpg                         | SG3707Y      | SG3707Y      | OK
112.jpg                        | SH9337C      | JH9337C      | FAIL
19.jpg                         | SJ3132A      | SJ3132A      | OK
73.jpg                         | STA43629     | STA43629     | OK
23.jpg                         | KOL27308     | KOL27308     | OK
41.jpg                         | ST0807U      | ST0807U      | OK
162.jpg                        | SBE46085     | SBE46085     | OK
7.jpg                          | SJ7912C      | SJ7912C      | OK
29.jpg                         | SO5220X      | SO5220X      | OK
192.jpg                        | SMY5HP6      | SMYSHP6      | FAIL
76.jpg                         | ST7803U      | ST7803U      | OK
101.jpg                        | STA0461C     | STA1C        | FAIL
64.jpg                         | SBE2446G     | SBE2446G     | OK
28.jpg                         | SRBKR79      | SRBKR79      | OK
65.jpg                         | SGLVN42      | SGLVN42      | OK
83.jpg                         | SK971JF      | SK971JF      | OK
