ERROR LOG
FILENAME                       | EXPECTED     | DETECTED     | STATUS
--------------------------------------------------------------------------------
144.jpg                        | STA1392C     | STA1392      | FAIL
143(1).jpg                     | SO0665L      | SC0665       | FAIL
125.jpg                        | SBE1515G     | SBE15156     | FAIL (Errors: G->6)
102.jpg                        | SZA92043     | Z920431      | FAIL
171.jpg                        | SCI2827J     | SC12827J     | FAIL (Errors: I->1)
143.jpg                        | SO0665L      | SC0665       | FAIL
10.jpg                         | SK404XK      | SK40XK       | FAIL
123.jpg                        | SK1067S      | SK10675      | FAIL (Errors: S->5)
119.jpg                        | SO6321W      |              | FAIL
97.jpg                         | CB441ML      | CB44IML      | FAIL (Errors: 1->I)
82.jpg                         | SO6058G      | SO60586      | FAIL (Errors: G->6)
35.jpg                         | L45H         | LA5H         | FAIL (Errors: 4->A)
12.jpg                         | SK293VV      |              | FAIL
124.jpg                        | SW55815      | SH55815      | FAIL (Errors: W->H)
55.jpg                         | SK3694W      | SK3694H      | FAIL (Errors: W->H)
30.jpg                         | SZO6KU4      | SZ06KU4      | FAIL (Errors: O->0)
46.jpg                         | SO8910X      | SO890X       | FAIL
64.jpg                         | SBE2446G     | SBE24466     | FAIL (Errors: G->6)
138.jpg                        | SZO99CK      | SO99CK       | FAIL
65.jpg                         | SGLVN42      | SGLVNA2      | FAIL (Errors: 4->A)
181.jpg                        | STA5950A     | STA59504     | FAIL (Errors: A->4)
110.jpg                        | SLU7XA8      | LU           | FAIL
106.jpg                        | SH9264A      | SH92644      | FAIL (Errors: A->4)
169.jpg                        | STAGA81      | STA6481      | FAIL (Errors: G->6, A->4)
24.jpg                         | KR3UH61      | R3UH61       | FAIL
108.jpg                        | SW58471      | SW5847       | FAIL
101.jpg                        | STA0461C     | OA61C        | FAIL
115.jpg                        | CRY4R84      | RY4254       | FAIL
114.jpg                        | SBE48JU      | SBE48        | FAIL
154.jpg                        | SG2947W      | SG2947N      | FAIL (Errors: W->N)
91.jpg                         | KOS0163G     | KOS01636     | FAIL (Errors: G->6)
43.jpg                         | SK321LN      | SK321LN7     | FAIL
8.jpg                          | ST8936T      | ST89361      | FAIL (Errors: T->1)
2.jpg                          | SK028SE      | SK028SEI     | FAIL
116.jpg                        | SO0773X      | 3X           | FAIL
93.jpg                         | SMI98X8      | SM98X8       | FAIL
54.jpg                         | SZY71327     | JZY71327     | FAIL (Errors: S->J)
176.jpg                        | ST7736G      | ST77366      | FAIL (Errors: G->6)
112.jpg                        | SH9337C      | JH9337C      | FAIL (Errors: S->J)
118.jpg                        | SK5682A      | SK56824      | FAIL (Errors: A->4)
